"","Compound","isotope","mean","se"
"247","UDP-D-Glucose","12C",0.0016287286973323,0.000350140483887059
"248","UDP-D-Glucose","13C",0.0723690926928251,0.00134250282253738
"249","UDP-D-Glucose","Dark-13C",0.00675140358412483,0.000562206892066041
"250","UDP-N-acetyl-glucosamine","12C",0.000234705297211545,3.83398391029757e-05
"251","UDP-N-acetyl-glucosamine","13C",0.0224621091239033,0.000529539781358038
"252","UDP-N-acetyl-glucosamine","Dark-13C",0.0027490584490852,0.00059020045203313
"253","UMP","12C",0.0416386190947689,0.0049389345646465
"254","UMP","13C",0.0228057234557477,0.000391690143391237
"255","UMP","Dark-13C",0.0376547440116136,0.00962488102196182
"256","Uracil","12C",0.00472493225055439,0.00066320057109474
"257","Uracil","13C",0.00965988048086844,0.0005480566699437
"258","Uracil","Dark-13C",0.00559262490552015,0.00248515039533542
"259","Uric acid","12C",0,0
"260","Uric acid","13C",0,0
"261","Uric acid","Dark-13C",0,0
"262","Uridine","12C",0.0373250594275976,0.00199400379516026
"263","Uridine","13C",0.0425970101242795,0.000916386036055651
"264","Uridine","Dark-13C",0.0592731493993954,0.00712115243772922
"265","Valine","12C",0.00117851661240416,0.000124918420699579
"266","Valine","13C",0.0123247479688658,0.00053985409960624
"267","Valine","Dark-13C",0.00106158469373579,0.000328968284022147
"268","Xylose-5-phosphate","12C",0.0356127754138685,0.00641512457275085
"269","Xylose-5-phosphate","13C",0.167595088481303,0.00644496823373345
"270","Xylose-5-phosphate","Dark-13C",0,0
