label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,12C_Ambient-A1_I7,12C_Ambient-A2_I8,12C_Ambient-A3_I9,12C_Ambient-A4_I10,12C_Ambient-A5_I11,12C_Ambient-A6_I12,12C_High-H1_I27,12C_High-H2_I28,12C_High-H3_I29,12C_High-H4_I30,12C_High-H5_I31,12C_High-H6_I32,13C_Ambient-A1_I1,13C_Ambient-A2_I2,13C_Ambient-A3_I3,13C_Ambient-A4_I4,13C_Ambient-A5_I5,13C_Ambient-A6_I6,13C_High-H1_I21,13C_High-H2_I22,13C_High-H3_I23,13C_High-H4_I24,13C_High-H5_I25,13C_High-H6_I26,Dark-13C_Ambient-Pool_I19,Dark-13C_Ambient-Pool_I20,Dark-13C_High-Pool_I39,Dark-13C_High-Pool_I40
,34,40,18,135.050735,2.62,0.636994,,C13-label-1,Adenine,Adenine,C5H5N5,0.12,1.242843,134.047363,17154.95,34655.98,3804.65,3775.72,2041.7,210043.05,201266.83,21621.46,148517.33,245232.69,132053.17,261701.38,174404.39,188518.2,108475.31,68802.62,176458.88,560254.19,615683.19,130188.84,210305.17,319561.22,719188.5,212512.39,108784.27,281693.97,550296.31,366418.25,327183.75,115487.6,54288.17,20748.39,19571.29
,34,41,14,136.053986,2.61,0.829107,,C13-label-2,Adenine,Adenine,C5H5N5,0.11,0.44861,134.047363,3511.33,3709.06,0,0,0,3442.54,6180.97,0,2961.95,3965.85,1311.83,5569.52,2757.22,2317.8,1414.39,0,5967.87,39357.4,41610.91,10046.87,15174.14,20074.12,50143.95,15327.34,7064.5,26179.31,41136.78,34001.78,26838.67,2788.99,1068.3,0,960.46
,34,42,5,137.057373,2.614,0.838449,,C13-label-3,Adenine,Adenine,C5H5N5,0.114,0.667989,134.047363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8216.31,11907.64,1261.92,3370.26,3868.64,14919.24,2850.37,1416.96,10817.03,12213.68,10835.43,10827.82,0,0,0,0
,34,43,1,138.06073,2.628,0.730954,,C13-label-4,Adenine,Adenine,C5H5N5,0.128,0.663134,134.047363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881.18,1817.28,0,937.48,0,2145.42,2125.56,0,1983.25,1710.77,1361.14,3869.7,0,0,0,0
,44,44,26,111.020218,2.178,0.718443,[M-H]-,C12 PARENT,Uracil,Uracil,C4H4N2O2,0.128,1.924185,111.020218,50142.33,10358.57,4642.4,4498.76,7108.78,48343.4,47174.98,28382.76,38014.66,49945.82,28399.88,58448.8,31401.7,42038.96,20507.05,20680.72,25082.92,99481.29,110326.4,26682.19,30026.74,57004.81,104843.96,51523.11,21620.5,47767.38,72557.63,52514.23,37874.2,21780.13,14913.65,16561.4,18519.11
,44,45,6,112.023537,2.171,0.844814,,C13-label-1,Uracil,Uracil,C4H4N2O2,0.121,1.634529,111.020218,2636.76,1034.46,0,773.94,0,1402,3072.62,0,925.38,1581.58,1260.37,2479.51,3524.93,1600.8,2973.63,2010.9,0,10736.03,9363.75,1661.93,1208.41,4748.23,12920.63,4641.44,1057.86,2316.96,6930.51,6155.53,4321.86,1129.1,1986.14,0,0
,48,48,29,165.055847,2.12,0.707687,[M-H]-,C12 PARENT,Phenyllactic acid,Phenyllactic acid,C9H10O3,0.15,0.73957,165.055847,44208.01,34501.11,12500.73,19729.55,16353.79,34178.46,39326.21,6358.31,28218.06,29204.4,29734.84,69726.37,27007.86,28205.21,30733.25,13720.38,22675.62,98417.6,43763.89,27598.62,26421.66,44994.43,57668.49,43915.91,28007.15,40142.92,60933.72,35095.72,37628.31,22897.76,21635.5,28597.29,20374.47
,48,49,4,166.059128,2.096,0.841548,,C13-label-1,Phenyllactic acid,Phenyllactic acid,C9H10O3,0.126,0.367551,165.055847,3542.36,4157.96,1774.41,1029.98,2970.78,2050.02,3937.48,0,3048.13,3058.91,2302.29,6015.18,2281.2,5702.72,2353.44,0,2024.92,10807.3,4882.26,1964.98,1858.6,3332.9,2503.73,3253.65,4256.33,5423.96,7212.99,2315.06,2447.85,3706.59,2544.42,0,2510.53
,51,51,29,241.083099,2.102,0.840239,[M-H]-,C12 PARENT,Thymidine,Thymidine,C10H14N2O5,0.152,0.443049,241.083099,6305.96,3665.46,1044.4,2109.79,936.24,71875.49,79070.27,41552.51,58577.51,62344.68,51672.14,51933.25,30903.59,38658.95,29822.62,23402.73,27140.45,146614.33,118332.72,44782.77,56074.75,92400.27,171687.39,56981.61,31007.1,102286.79,65735.26,74070.66,65466.62,30117.87,53384.39,28419.51,36199.39
,51,52,4,242.086884,2.116,0.84425,,C13-label-1,Thymidine,Thymidine,C10H14N2O5,0.166,2.206063,241.083099,0,0,0,0,0,5303.38,7057.48,0,1612.73,4462.92,3853.92,0,0,2299.38,0,0,0,18907.92,9559.32,3057.19,4756.33,7422.18,22089.03,0,0,12069.3,0,8753.97,4355.59,0,2117.16,0,3217.69
