Logger,DateTime,Temp,Treatment
20987160,6/12/21 12:30,27.087,Ambient
20719656,6/12/21 12:30,27.038,High
20719658,6/12/21 12:30,27.014,High
20946645,6/12/21 12:30,27.161,High
20946643,6/12/21 12:40,26.989,Ambient
20987159,6/12/21 12:40,26.891,Ambient
20987160,6/12/21 12:40,27.112,Ambient
20719656,6/12/21 12:40,27.087,High
20719658,6/12/21 12:40,27.038,High
20946645,6/12/21 12:40,27.21,High
20946643,6/12/21 12:50,26.989,Ambient
20987159,6/12/21 12:50,26.916,Ambient
20987160,6/12/21 12:50,27.136,Ambient
20719656,6/12/21 12:50,27.087,High
20719658,6/12/21 12:50,27.063,High
20946645,6/12/21 12:50,27.235,High
20946643,6/12/21 13:00,27.063,Ambient
20987159,6/12/21 13:00,26.965,Ambient
20987160,6/12/21 13:00,27.186,Ambient
20719656,6/12/21 13:00,27.161,High
20719658,6/12/21 13:00,27.112,High
20946645,6/12/21 13:00,27.284,High
20946643,6/12/21 13:10,27.087,Ambient
20987159,6/12/21 13:10,26.989,Ambient
20987160,6/12/21 13:10,27.21,Ambient
20719656,6/12/21 13:10,27.186,High
20719658,6/12/21 13:10,27.136,High
20946645,6/12/21 13:10,27.333,High
20946643,6/12/21 13:20,27.136,Ambient
20987159,6/12/21 13:20,27.014,Ambient
20987160,6/12/21 13:20,27.259,Ambient
20719656,6/12/21 13:20,27.235,High
20719658,6/12/21 13:20,27.161,High
20946645,6/12/21 13:20,27.358,High
20946643,6/12/21 13:30,27.161,Ambient
20987159,6/12/21 13:30,27.063,Ambient
20987160,6/12/21 13:30,27.284,Ambient
20719656,6/12/21 13:30,27.259,High
20719658,6/12/21 13:30,27.186,High
20946645,6/12/21 13:30,27.358,High
20946643,6/12/21 13:40,27.186,Ambient
20987159,6/12/21 13:40,27.087,Ambient
20987160,6/12/21 13:40,27.308,Ambient
20719656,6/12/21 13:40,27.284,High
20719658,6/12/21 13:40,27.21,High
20946645,6/12/21 13:40,27.358,High
20946643,6/12/21 13:50,27.21,Ambient
20987159,6/12/21 13:50,27.112,Ambient
20987160,6/12/21 13:50,27.358,Ambient
20719656,6/12/21 13:50,27.308,High
20719658,6/12/21 13:50,27.235,High
20946645,6/12/21 13:50,27.382,High
20946643,6/12/21 14:00,27.235,Ambient
20987159,6/12/21 14:00,27.136,Ambient
20987160,6/12/21 14:00,27.407,Ambient
20719656,6/12/21 14:00,27.333,High
20719658,6/12/21 14:00,27.259,High
20946645,6/12/21 14:00,27.407,High
20946643,6/12/21 14:10,27.235,Ambient
20987159,6/12/21 14:10,27.161,Ambient
20987160,6/12/21 14:10,27.456,Ambient
20719656,6/12/21 14:10,27.333,High
20719658,6/12/21 14:10,27.259,High
20946645,6/12/21 14:10,27.431,High
20946643,6/12/21 14:20,27.284,Ambient
20987159,6/12/21 14:20,27.21,Ambient
20987160,6/12/21 14:20,27.505,Ambient
20719656,6/12/21 14:20,27.358,High
20719658,6/12/21 14:20,27.284,High
20946645,6/12/21 14:20,27.431,High
20946643,6/12/21 14:30,27.333,Ambient
20987159,6/12/21 14:30,27.235,Ambient
20987160,6/12/21 14:30,27.554,Ambient
20719656,6/12/21 14:30,27.358,High
20719658,6/12/21 14:30,27.308,High
20946645,6/12/21 14:30,27.481,High
20946643,6/12/21 14:40,27.358,Ambient
20987159,6/12/21 14:40,27.259,Ambient
20987160,6/12/21 14:40,27.554,Ambient
20719656,6/12/21 14:40,27.382,High
20719658,6/12/21 14:40,27.308,High
20946645,6/12/21 14:40,27.481,High
20946643,6/12/21 14:50,27.382,Ambient
20987159,6/12/21 14:50,27.284,Ambient
20987160,6/12/21 14:50,27.554,Ambient
20719656,6/12/21 14:50,27.407,High
20719658,6/12/21 14:50,27.333,High
20946645,6/12/21 14:50,27.505,High
20946643,6/12/21 15:00,27.382,Ambient
20987159,6/12/21 15:00,27.308,Ambient
20987160,6/12/21 15:00,27.579,Ambient
20719656,6/12/21 15:00,27.431,High
20719658,6/12/21 15:00,27.358,High
20946645,6/12/21 15:00,27.53,High
20946643,6/12/21 15:10,27.407,Ambient
20987159,6/12/21 15:10,27.333,Ambient
20987160,6/12/21 15:10,27.604,Ambient
20719656,6/12/21 15:10,27.456,High
20719658,6/12/21 15:10,27.358,High
20946645,6/12/21 15:10,27.53,High
20946643,6/12/21 15:20,27.407,Ambient
20987159,6/12/21 15:20,27.333,Ambient
20987160,6/12/21 15:20,27.604,Ambient
20719656,6/12/21 15:20,27.456,High
20719658,6/12/21 15:20,27.358,High
20946645,6/12/21 15:20,27.53,High
20946643,6/12/21 15:30,27.407,Ambient
20987159,6/12/21 15:30,27.333,Ambient
20987160,6/12/21 15:30,27.604,Ambient
20719656,6/12/21 15:30,27.456,High
20719658,6/12/21 15:30,27.382,High
20946645,6/12/21 15:30,27.53,High
20946643,6/12/21 15:40,27.431,Ambient
20987159,6/12/21 15:40,27.407,Ambient
20987160,6/12/21 15:40,27.604,Ambient
20719656,6/12/21 15:40,27.505,High
20719658,6/12/21 15:40,27.481,High
20946645,6/12/21 15:40,27.604,High
20946643,6/12/21 15:50,27.407,Ambient
20987159,6/12/21 15:50,27.382,Ambient
20987160,6/12/21 15:50,27.579,Ambient
20719656,6/12/21 15:50,27.505,High
20719658,6/12/21 15:50,27.431,High
20946645,6/12/21 15:50,27.554,High
20946643,6/12/21 16:00,27.407,Ambient
20987159,6/12/21 16:00,27.382,Ambient
20987160,6/12/21 16:00,27.554,Ambient
20719656,6/12/21 16:00,27.481,High
20719658,6/12/21 16:00,27.431,High
20946645,6/12/21 16:00,27.554,High
20946643,6/12/21 16:10,27.407,Ambient
20987159,6/12/21 16:10,27.358,Ambient
20987160,6/12/21 16:10,27.579,Ambient
